epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15059.6,1.22133,0.70361,1.23088,0.71497,0.84291,0.71717,0.4862,1.24916,1.10202,1.23489,0.007228,0.007228,0.007228
44,15413.5,1.21392,0.69685,1.22243,0.71036,0.85553,0.7191,0.48752,1.2462,1.10228,1.23312,0.007162,0.007162,0.007162
45,15765.4,1.22033,0.70648,1.22614,0.70841,0.85867,0.71918,0.48676,1.24606,1.10333,1.23354,0.007096,0.007096,0.007096
46,16142.4,1.21814,0.69844,1.22473,0.70901,0.85566,0.71904,0.48702,1.24539,1.10007,1.23331,0.00703,0.00703,0.00703
47,16494.1,1.21117,0.69536,1.22084,0.71039,0.85028,0.71939,0.48743,1.24452,1.09786,1.23228,0.006964,0.006964,0.006964
48,16845.2,1.21198,0.69219,1.2235,0.70529,0.85744,0.71962,0.48791,1.24389,1.0978,1.23171,0.006898,0.006898,0.006898
49,17196.4,1.21299,0.68819,1.22159,0.7082,0.85604,0.71978,0.48854,1.24411,1.09585,1.23195,0.006832,0.006832,0.006832
50,17560,1.20641,0.68593,1.21299,0.71357,0.85131,0.71981,0.48823,1.24393,1.09431,1.23165,0.006766,0.006766,0.006766
51,17936,1.20682,0.68511,1.22038,0.71159,0.85466,0.71943,0.4878,1.24393,1.09307,1.23179,0.0067,0.0067,0.0067
52,18286.9,1.20553,0.6849,1.21317,0.71056,0.85783,0.71983,0.48793,1.24411,1.09178,1.23164,0.006634,0.006634,0.006634
53,18641.1,1.20453,0.67946,1.21276,0.71236,0.85356,0.72016,0.48767,1.24367,1.0907,1.23126,0.006568,0.006568,0.006568
54,18995,1.19961,0.68051,1.21237,0.71093,0.85521,0.72027,0.48781,1.24288,1.08936,1.23046,0.006502,0.006502,0.006502
55,19346.9,1.19446,0.68032,1.20912,0.71154,0.85514,0.72009,0.4881,1.24252,1.08884,1.22955,0.006436,0.006436,0.006436
56,19722,1.19959,0.67643,1.21124,0.71079,0.85374,0.71977,0.48796,1.24203,1.08822,1.22935,0.00637,0.00637,0.00637
57,20073.5,1.19399,0.6721,1.20809,0.71131,0.85442,0.72036,0.48905,1.242,1.08727,1.22942,0.006304,0.006304,0.006304
58,20426,1.19472,0.67404,1.21053,0.71,0.85476,0.72049,0.48965,1.24199,1.08591,1.22925,0.006238,0.006238,0.006238
59,20777.6,1.1936,0.67263,1.20958,0.70978,0.8554,0.72104,0.48943,1.24116,1.08449,1.22867,0.006172,0.006172,0.006172
60,21129.6,1.19491,0.67094,1.20938,0.70961,0.85696,0.72005,0.48945,1.241,1.08333,1.22852,0.006106,0.006106,0.006106
61,21504.9,1.18911,0.67141,1.20572,0.71147,0.85655,0.7205,0.48964,1.24067,1.08236,1.22806,0.00604,0.00604,0.00604
62,21857.1,1.18518,0.66227,1.19863,0.71142,0.85139,0.71949,0.48916,1.24093,1.08092,1.22805,0.005974,0.005974,0.005974
63,22210,1.19115,0.66881,1.20528,0.7126,0.85054,0.72057,0.4898,1.23967,1.08018,1.22727,0.005908,0.005908,0.005908
64,22563.6,1.19136,0.66829,1.2051,0.7147,0.85045,0.7202,0.48947,1.2389,1.07928,1.2269,0.005842,0.005842,0.005842
65,22923.9,1.1806,0.66065,1.19906,0.7155,0.8503,0.72022,0.49021,1.23922,1.08002,1.22719,0.005776,0.005776,0.005776
66,23284.5,1.18552,0.6673,1.2002,0.7161,0.85285,0.72048,0.48994,1.23854,1.07879,1.22625,0.00571,0.00571,0.00571
67,23644.6,1.18502,0.65549,1.20084,0.71639,0.85054,0.72042,0.49087,1.23858,1.07787,1.22615,0.005644,0.005644,0.005644
68,24005.3,1.17865,0.65766,1.20127,0.71739,0.85156,0.72055,0.4907,1.23863,1.0779,1.22588,0.005578,0.005578,0.005578
69,24366.8,1.17699,0.65578,1.19791,0.71824,0.84939,0.72086,0.49107,1.23834,1.07717,1.22568,0.005512,0.005512,0.005512
70,24727.6,1.17438,0.64732,1.19256,0.71923,0.84974,0.721,0.49116,1.23841,1.07651,1.22534,0.005446,0.005446,0.005446
71,25111.9,1.17678,0.65408,1.19318,0.71947,0.84837,0.72072,0.49122,1.2388,1.07587,1.22541,0.00538,0.00538,0.00538
72,25472.4,1.17288,0.64624,1.19075,0.71981,0.84959,0.7204,0.49186,1.23806,1.07604,1.2249,0.005314,0.005314,0.005314
73,25832.2,1.17526,0.65224,1.19032,0.7184,0.84937,0.72007,0.49156,1.23786,1.07428,1.22469,0.005248,0.005248,0.005248
74,26195,1.1719,0.64839,1.19383,0.71866,0.84867,0.72022,0.49139,1.23755,1.07312,1.22462,0.005182,0.005182,0.005182
75,26554.3,1.16796,0.64532,1.19275,0.71735,0.84952,0.7198,0.49144,1.23727,1.073,1.2244,0.005116,0.005116,0.005116
76,26914.8,1.16929,0.6463,1.18869,0.71772,0.85054,0.72014,0.49212,1.23762,1.07213,1.22442,0.00505,0.00505,0.00505
77,27275.2,1.17029,0.64237,1.18789,0.71664,0.85,0.72004,0.49214,1.23718,1.07174,1.22391,0.004984,0.004984,0.004984
78,27636.2,1.17012,0.64165,1.18429,0.71534,0.84957,0.72047,0.49246,1.23698,1.07096,1.22334,0.004918,0.004918,0.004918
79,28010.2,1.16802,0.64595,1.18494,0.71562,0.84913,0.72058,0.49324,1.23647,1.0704,1.22281,0.004852,0.004852,0.004852
80,28371.7,1.16401,0.63981,1.18339,0.71814,0.84853,0.72099,0.4937,1.23615,1.06861,1.22244,0.004786,0.004786,0.004786
81,28757.4,1.16164,0.64173,1.18179,0.71666,0.84915,0.72018,0.49342,1.23612,1.06845,1.22214,0.00472,0.00472,0.00472
